customer_id,first_name,last_name,email,state,city,signup_date,segment,is_active
1,Angel,Hill,donaldgarcia@example.net,CA,New Roberttown,2025-05-27,Regular,True
2,Jesse,Guzman,jennifermiles@example.com,FL,South Bridget,2023-10-07,Regular,True
3,Adam,Shaffer,jpeterson@example.org,NC,Curtisfurt,2025-11-29,Regular,True
4,Melanie,Munoz,blairamanda@example.com,TX,New Kellystad,2023-10-10,Regular,True
5,Janet,Williams,kendragalloway@example.org,MI,South Joshuastad,2025-03-20,Regular,True
6,Michael,Santiago,lynchgeorge@example.net,NC,East Steven,2023-12-22,Regular,True
7,Sara,Watts,gabriellecameron@example.org,IL,Port Antonio,2024-04-17,Premium,True
8,Joseph,Clark,jason76@example.net,NY,Thomasberg,2024-06-06,Premium,True
9,Anna,Baker,zhurst@example.com,NY,East William,2024-03-23,Regular,True
10,Brandon,Rodriguez,laurahenderson@example.org,CA,Jamesmouth,2023-10-04,Regular,True
11,Tasha,Valencia,frazierdanny@example.net,OH,Kaylamouth,2025-01-26,Premium,True
12,Ryan,Chavez,teresa28@example.org,GA,Meaganhaven,2023-10-27,Regular,False
13,Eric,Farmer,georgetracy@example.org,PA,Natashaport,2025-04-23,Regular,True
14,John,Bradley,millertodd@example.org,MI,East Donna,2024-03-15,Premium,True
15,Frederick,Rose,ibrandt@example.net,FL,Lake Larry,2026-04-28,Premium,True
16,Debra,Kim,omartinez@example.org,FL,Andrewside,2026-06-20,Premium,False
17,Jeffrey,Jones,perezrebecca@example.com,FL,New Johnfort,2024-03-04,Premium,True
18,David,Walls,esanchez@example.com,GA,North Collin,2024-02-16,Premium,True
19,Rodney,Owens,nuneztracey@example.org,OH,South Jessicaville,2024-10-11,Regular,True
20,James,West,dwhite@example.org,CA,South Lindseyside,2024-03-25,Premium,True
21,Denise,Fernandez,novaksara@example.org,FL,South Todd,2023-10-12,Regular,True
22,Richard,Brown,ysmith@example.com,NC,Mitchellside,2024-02-16,Regular,True
23,Tommy,Lee,tanyariley@example.net,TX,Lake Leeton,2025-06-20,Regular,True
24,Wesley,Farrell,brianromero@example.org,OH,New Carlosbury,2025-03-27,Regular,True
25,Shelly,Hudson,harveyrobert@example.net,MI,Sarahborough,2024-09-11,Premium,True
26,Leon,Baker,emilyevans@example.com,GA,North Stephenshire,2025-06-29,Regular,False
27,Charles,Lewis,david51@example.org,GA,Justinmouth,2026-06-21,Regular,True
28,Jade,Carr,contrerasangela@example.net,NC,East Josephville,2025-12-25,Regular,True
29,Eric,Campbell,jenniferharris@example.net,PA,Williamview,2025-09-16,Premium,True
30,Meghan,Davis,ccalderon@example.org,FL,Kellieview,2026-03-14,VIP,True
31,Scott,Thornton,rodriguezsierra@example.net,GA,New Barry,2023-12-20,Regular,True
32,Angela,Jordan,parkerrachel@example.org,CA,Jasonbury,2024-08-04,Regular,True
33,Michael,Castro,vdickson@example.org,PA,Port Francisco,2025-06-26,Regular,True
34,Gregory,Gutierrez,jillcook@example.com,MI,West Erik,2025-11-18,VIP,True
35,Patrick,Williams,dwalker@example.com,NC,Loribury,2025-08-02,Premium,True
